CONTAINER_ID,LINE_CODE,CONTAINER_DATE,DATE,DAY,TIME,AM/PM,CONTAINER_TYPE_CODE,CONTAINER_TYPE,CONTAINER_ISO_CODE,CONTAINER_LENGTH,CONTAINER_HEIGHT,CONTAINER_WIDTH,VENTILATION,DANGEROUS_TRANSPORT,DESIGNATION_CODE,DESIGNATION
WIKU3215868,NVSL,5/9/2024,5/9/2024,Thursday,14:34:15,PM,HC,High Cubed,4510,40,9'6'',8,Ventilated,No,MT,Empty
TRLU7811463,MLH,3/24/2024,3/24/2024,Sunday,14:29:28,PM,TNK,Tank,22K3,20,8'6'',8,Pressurized,Yes,MT,Empty
WIKU6632348,APL,9/29/2024,9/29/2024,Sunday,3:28:06,AM,HC,High Cubed,4500,40,9'6'',8,No Ventilation,No,MT,Empty
WIKU6623637,ESL,10/19/2024,10/19/2024,Saturday,22:05:31,PM,STD,Standard,22G1,20,8'6'',8,No Ventilation,No,MT,Empty
GCSU3467971,APL,3/26/2024,3/26/2024,Tuesday,2:07:32,AM,HC,High Cubed,4510,40,9'6'',8,Ventilated,No,MT,Empty
GCSU9640858,APL,12/5/2024,12/5/2024,Thursday,17:13:56,PM,HRF,High Cubed Refrigerated,4530,40,9'6'',8,Refrigerated,No,MT,Empty
TRLU2119850,HLL,2/15/2024,2/15/2024,Thursday,0:00:58,AM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,MT,Empty
WFHU4922045,ESL,7/16/2024,7/16/2024,Tuesday,18:07:58,PM,HC,High Cubed,4500,40,9'6'',8,No Ventilation,No,MT,Empty
GCSU7282643,APL,3/14/2024,3/14/2024,Thursday,0:26:54,AM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,MT,Empty
TRLU7450073,APL,11/13/2024,11/13/2024,Wednesday,21:48:20,PM,STD,Standard,22G1,20,8'6'',8,No Ventilation,No,MT,Empty
GCSU2053266,HLL,10/12/2024,10/12/2024,Saturday,23:21:43,PM,HC,High Cubed,4500,40,9'6'',8,No Ventilation,No,MT,Empty
WIKU9291762,MLH,6/25/2024,6/25/2024,Tuesday,1:57:02,AM,HRF,High Cubed Refrigerated,4532,40,9'6'',8,Refrigerated and Heated,No,MT,Empty
WFHU9182313,HLL,9/18/2024,9/18/2024,Wednesday,10:14:43,AM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,EXP,Export Service
ESDU4437696,MLH,1/3/2024,1/3/2024,Wednesday,6:40:59,AM,HRF,High Cubed Refrigerated,4530,40,9'6'',8,Refrigerated,No,MT,Empty
WIKU6339569,HLL,12/5/2024,12/5/2024,Thursday,20:59:52,PM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,MT,Empty
WIKU1292356,APL,6/30/2024,6/30/2024,Sunday,19:06:26,PM,HC,High Cubed,4510,40,9'6'',8,Ventilated,No,T/S,Transhipment
TRLU8629234,NVSL,8/26/2024,8/26/2024,Monday,10:38:33,AM,HC,High Cubed,4500,40,9'6'',8,No Ventilation,No,MT,Empty
ESDU3422150,MLH,8/25/2024,8/25/2024,Sunday,21:51:30,PM,STD,Standard,22G1,20,8'6'',8,No Ventilation,No,MT,Empty
WFHU2106226,NVSL,2/28/2024,2/28/2024,Wednesday,11:34:12,AM,HC,High Cubed,45G0,40,9'6'',8,No Ventilation,No,EXP,Export Service
WIKU6134879,ESL,5/9/2024,5/9/2024,Thursday,23:14:12,PM,STD,Standard,2210,20,8'6'',8,Ventilated,No,MT,Empty
TRLU5134133,NVSL,4/19/2024,4/19/2024,Friday,8:11:46,AM,HC,High Cubed,45G0,40,9'6'',8,No Ventilation,No,MT,Empty
WIKU4506317,ESL,10/19/2024,10/19/2024,Saturday,6:37:05,AM,STD,Standard,22G1,20,8'6'',8,No Ventilation,No,MT,Empty
WFHU5459537,MLH,10/6/2024,10/6/2024,Sunday,10:30:06,AM,STD,Standard,2200,20,8'6'',8,No Ventilation,No,MT,Empty
ESDU4046456,HLL,6/6/2024,6/6/2024,Thursday,23:32:33,PM,HC,High Cubed,4500,40,9'6'',8,No Ventilation,No,MT,Empty
WFHU9541707,HLL,12/5/2024,12/5/2024,Thursday,7:25:24,AM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,EXP,Export Service
WFHU9013757,APL,3/8/2024,3/8/2024,Friday,21:03:11,PM,HRF,High Cubed Refrigerated,4532,40,9'6'',8,Refrigerated and Heated,No,MT,Empty
WIKU5717128,APL,4/1/2024,4/1/2024,Monday,23:50:53,PM,STD,Standard,22G0,20,8'6'',8,No Ventilation,No,MT,Empty
WFHU1493989,APL,6/16/2024,6/16/2024,Sunday,5:07:34,AM,HC,High Cubed,4500,40,9'6'',8,No Ventilation,No,MT,Empty
WIKU8383201,NVSL,9/8/2024,9/8/2024,Sunday,3:40:21,AM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,MT,Empty
TRLU6203497,MLH,6/1/2024,6/1/2024,Saturday,8:02:22,AM,STD,Standard,2200,20,8'6'',8,No Ventilation,No,MT,Empty
TRLU6976294,NVSL,2/24/2024,2/24/2024,Saturday,3:51:37,AM,HC,High Cubed,4500,40,9'6'',8,No Ventilation,No,MT,Empty
GCSU5624579,NVSL,2/19/2024,2/19/2024,Monday,9:59:45,AM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,MT,Empty
TRLU9063066,MLH,8/3/2024,8/3/2024,Saturday,21:33:56,PM,STD,Standard,22G0,20,8'6'',8,No Ventilation,No,MT,Empty
WFHU9558931,APL,4/23/2024,4/23/2024,Tuesday,18:41:50,PM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,EXP,Export Service
TRLU8566738,HLL,1/27/2024,1/27/2024,Saturday,23:51:01,PM,STD,Standard,22G1,20,8'6'',8,No Ventilation,No,MT,Empty
ESDU3958078,ESL,12/5/2024,12/5/2024,Thursday,5:59:05,AM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,MT,Empty
ESDU5475412,NVSL,6/3/2024,6/3/2024,Monday,18:01:28,PM,STD,Standard,2200,20,8'6'',8,No Ventilation,No,MT,Empty
