CONTAINER_ID,LINE_CODE,CONTAINER_DATE,DATE,DAY,TIME,AM/PM,CONTAINER_TYPE_CODE,CONTAINER_TYPE,CONTAINER_ISO_CODE,CONTAINER_LENGTH,CONTAINER_HEIGHT,CONTAINER_WIDTH,VENTILATION,DANGEROUS_TRANSPORT,DESIGNATION_CODE,DESIGNATION,TIME_24HR
TRLU5869252,HLL,2/3/2024 0:01,2/3/2024,Saturday,12:01:00,AM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,MT,Empty,00:01:00
WIKU5201240,MLH,6/21/2024 12:34,6/21/2024,Friday,12:34:00,PM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,EXP,Export Service,12:34:00
ESDU4075587,ESL,7/15/2024 12:21,7/15/2024,Monday,12:21:00,PM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,T/S,Transhipment,12:21:00
WFHU5195877,ESL,7/15/2024 12:21,7/15/2024,Monday,12:21:00,PM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,T/S,Transhipment,12:21:00
GCSU2021209,NVSL,8/3/2024 10:15,8/3/2024,Saturday,10:15:00,AM,STD,Standard,22G1,20,8'6'',8,No Ventilation,No,EXP,Export Service,10:15:00
BSIU8339359,SEAL,8/8/2024 10:03,8/8/2024,Thursday,10:03:00,AM,HC,High Cubed,4500,40,9'6'',8,No Ventilation,No,MT,Empty,10:03:00
MOAU6522839,OTSL,8/20/2024 16:22,8/20/2024,Tuesday,4:22:00,PM,STD,Standard,22G1,20,8'6'',8,No Ventilation,No,EXP,Export Service,16:22:00
GCXU5917356,HLL,8/21/2024 13:42,8/21/2024,Wednesday,1:42:00,PM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,EXP,Export Service,13:42:00
DVRU1620858,SKSLL,8/23/2024 11:45,8/23/2024,Friday,11:45:00,AM,STD,Standard,2200,20,8'6'',8,No Ventilation,No,EXP,Export Service,11:45:00
HLBU1824827,HLL,8/23/2024 17:09,8/23/2024,Friday,5:09:00,PM,STD,Standard,22G1,20,8'6'',8,No Ventilation,No,EXP,Export Service,17:09:00
CAIU7899902,UFC,8/28/2024 15:19,8/28/2024,Wednesday,3:19:00,PM,HC,High Cubed,4510,40,9'6'',8,Ventilated,No,EXP,Export Service,15:19:00
TIGU6249183,BLINE,8/29/2024 8:41,8/29/2024,Thursday,8:41:00,AM,HC,High Cubed,4500,40,9'6'',8,No Ventilation,No,EXP,Export Service,08:41:00
UACU3482264,HLL,9/2/2024 8:40,9/2/2024,Monday,8:40:00,AM,STD,Standard,22G1,20,8'6'',8,No Ventilation,No,MT,Empty,08:40:00
TRHU8931821,TSLINE,9/4/2024 9:00,9/4/2024,Wednesday,9:00:00,AM,HC,High Cubed,4500,40,9'6'',8,No Ventilation,No,MT,Empty,09:00:00
FCIU7112131,KMTC,9/4/2024 16:56,9/4/2024,Wednesday,4:56:00,PM,HC,High Cubed,4500,40,9'6'',8,No Ventilation,No,MT,Empty,16:56:00
